السنة,الربع,نوع المزاد,عدد_المزادات,عدد_الأصول,المنطقة,المدينة,نوع_الأصل,نوع_الصك,مجموع_قيمة_البيع
2025,4,إلكتروني,3,3,جيزان,أبو عريش,عقارات,سكني,1628500.0
2025,4,إلكتروني,3,3,الرياض,الخرج,عقارات,ارض زراعية,27110000.0
2025,4,إلكتروني,1,1,الباحة,المخواة,عقارات,ارض زراعية,151000.0
2025,4,إلكتروني,3,3,الحدود الشمالية,عرعر,عقارات,أخرى,642000.0
2025,4,إلكتروني,1,1,مكة المكرمة,الطائف,عقارات,غير محدد,232000.0
2025,4,إلكتروني,1,1,الرياض,ضرماء,عقارات,أخرى,620000.0
2025,4,إلكتروني,2,3,مكة المكرمة,الخرمة,عقارات,أخرى,235791.66
2025,4,إلكتروني,2,2,نجران,يدمة,عقارات,سكني,232000.0
2025,4,إلكتروني,2,3,مكة المكرمة,المويه,عقارات,أخرى,1294000.0
2025,4,إلكتروني,3,3,عسير,ابها,عقارات,ارض زراعية,1619000.0
2025,4,إلكتروني,1,1,المدينة المنورة,وادي الفرع,عقارات,ارض زراعية,111500.0
2025,4,إلكتروني,4,4,الباحة,الباحة,عقارات,ارض زراعية,2804000.0
2025,4,إلكتروني,2,2,الحدود الشمالية,عرعر,عقارات,سكني,1001000.0
2025,4,إلكتروني,1,2,الرياض,المزاحميه,عقارات,أخرى,104000.0
2025,4,إلكتروني,2,2,حائل,الغزاله,عقارات,غير محدد,170500.0
2025,4,إلكتروني,1,1,الرياض,المزاحميه,عقارات,سكني,610000.0
2025,4,إلكتروني,4,4,عسير,خميس مشيط,عقارات,غير محدد,2995000.0
